Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Round,Unnamed: 3_level_0_Venue,Unnamed: 4_level_0_Result,Unnamed: 5_level_0_Squad,Unnamed: 6_level_0_Opponent,Unnamed: 7_level_0_Start,Unnamed: 8_level_0_Pos,Unnamed: 9_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 35_level_0_Match Report,Player_Name,Player_URL
2025-12-27,Sat,Matchweek 18,Away,W 2–1,Manchester City,Nott'ham Forest,Y,AM,88,1,1,0,0,4,2,0,0,66,2,1,0,0.3,0.3,0.7,8,1,43,53,81.1,7,48,5,5,2,Match Report,Rayan Cherki,https://fbref.com/en/players/b34c63a5/matchlogs/all_comps/
2025-12-20,Sat,Matchweek 17,Home,W 3–0,Manchester City,West Ham,Y,AM,66,0,0,0,0,0,0,0,0,67,1,1,0,0.0,0.0,0.6,7,1,49,59,83.1,7,50,5,6,2,Match Report,Rayan Cherki,https://fbref.com/en/players/b34c63a5/matchlogs/all_comps/
2025-12-14,Sun,Matchweek 16,Away,W 3–0,Manchester City,Crystal Palace,Y,AM,90,0,1,0,0,0,0,0,0,66,0,0,0,0.0,0.0,0.2,4,2,50,57,87.7,6,48,4,7,5,Match Report,Rayan Cherki,https://fbref.com/en/players/b34c63a5/matchlogs/all_comps/
2025-12-06,Sat,Matchweek 15,Home,W 3–0,Manchester City,Sunderland,Y,AM,81,0,2,0,0,2,1,0,0,96,0,0,0,0.2,0.2,1.2,9,3,72,84,85.7,8,75,15,9,5,Match Report,Rayan Cherki,https://fbref.com/en/players/b34c63a5/matchlogs/all_comps/
2025-12-02,Tue,Matchweek 14,Away,W 5–4,Manchester City,Fulham,N,"RW,RM",9,0,0,0,0,0,0,1,0,13,0,0,0,0.0,0.0,0.0,0,0,7,10,70.0,2,10,0,0,0,Match Report,Rayan Cherki,https://fbref.com/en/players/b34c63a5/matchlogs/all_comps/
