Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Round,Unnamed: 3_level_0_Venue,Unnamed: 4_level_0_Result,Unnamed: 5_level_0_Squad,Unnamed: 6_level_0_Opponent,Unnamed: 7_level_0_Start,Unnamed: 8_level_0_Pos,Unnamed: 9_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 35_level_0_Match Report,Player_Name,Player_URL
2025-12-27,Sat,Matchweek 11,Home,W 3–0,Al-Nassr,Al Okhdood SC,Y*,FW,90,2,0,0,0,5,3,0,0,,,0,,,,,,,,,,,,,,,Match Report,Cristiano Ronaldo,https://fbref.com/en/players/dea698d9/matchlogs/all_comps/
2025-11-23,Sun,Matchweek 9,Home,W 4–1,Al-Nassr,Al-Khaleej,Y*,FW,90,1,0,0,0,8,4,0,0,,,0,,,,,,,,,,,,,,,Match Report,Cristiano Ronaldo,https://fbref.com/en/players/dea698d9/matchlogs/all_comps/
2025-11-08,Sat,Matchweek 8,Away,W 3–1,Al-Nassr,Al Suqoor Saudi Club,Y*,FW,90,1,0,1,1,8,5,0,0,,,1,,,,,,,,,,,,,,,Match Report,Cristiano Ronaldo,https://fbref.com/en/players/dea698d9/matchlogs/all_comps/
2025-11-01,Sat,Matchweek 7,Home,W 2–1,Al-Nassr,Al-Fayha,Y*,FW,90,2,0,1,1,6,3,0,0,,,0,,,,,,,,,,,,,,,Match Report,Cristiano Ronaldo,https://fbref.com/en/players/dea698d9/matchlogs/all_comps/
2025-10-25,Sat,Matchweek 6,Away,W 2–0,Al-Nassr,Al-Hazem,Y*,FW,90,1,0,0,0,5,1,0,0,,,0,,,,,,,,,,,,,,,Match Report,Cristiano Ronaldo,https://fbref.com/en/players/dea698d9/matchlogs/all_comps/
