Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Comp,Unnamed: 3_level_0_Round,Unnamed: 4_level_0_Venue,Unnamed: 5_level_0_Result,Unnamed: 6_level_0_Squad,Unnamed: 7_level_0_Opponent,Unnamed: 8_level_0_Start,Unnamed: 9_level_0_Pos,Unnamed: 10_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 36_level_0_Match Report,Player_Name,Player_URL
2025-12-21,Sun,Eredivisie,Matchweek 10,Home,D 0–0,HERA United,Twente,Y,DM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report,Hitomi Tanaka,https://fbref.com/en/players/e07cbd99/matchlogs/all_comps/
2025-12-07,Sun,Eredivisie,Matchweek 9,Home,D 1–1,HERA United,Excelsior,Y,DM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report,Hitomi Tanaka,https://fbref.com/en/players/e07cbd99/matchlogs/all_comps/
2025-11-23,Sun,Eredivisie,Matchweek 8,Away,L 0–3,HERA United,Feyenoord Vrouwen,Y,DM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report,Hitomi Tanaka,https://fbref.com/en/players/e07cbd99/matchlogs/all_comps/
2025-11-16,Sun,Eredivisie,Matchweek 7,Away,W 1–0,HERA United,ADO Den Haag,Y,DM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report,Hitomi Tanaka,https://fbref.com/en/players/e07cbd99/matchlogs/all_comps/
2025-11-02,Sun,Eredivisie,Matchweek 6,Home,L 0–5,HERA United,Ajax,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report,Hitomi Tanaka,https://fbref.com/en/players/e07cbd99/matchlogs/all_comps/
