Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Round,Unnamed: 3_level_0_Venue,Unnamed: 4_level_0_Result,Unnamed: 5_level_0_Squad,Unnamed: 6_level_0_Opponent,Unnamed: 7_level_0_Start,Unnamed: 8_level_0_Pos,Unnamed: 9_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 35_level_0_Match Report,Player_Name,Player_URL
2025-12-14,Sun,Matchweek 11,Home,W 6–1,Manchester City,Aston Villa,Y,DM,90,0,1,0,0,0,0,0,0,69,0,1,1,0.0,0.0,0.1,3,1,45,62,72.6,6,35,0,2,0,Match Report,Yui Hasegawa,https://fbref.com/en/players/13633403/matchlogs/all_comps/
2025-12-07,Sun,Matchweek 10,Away,W 3–0,Manchester City,Leicester City,Y,DM,90,0,0,0,0,2,0,0,0,87,0,0,0,0.1,0.1,0.0,4,0,64,82,78.0,9,59,1,0,0,Match Report,Yui Hasegawa,https://fbref.com/en/players/13633403/matchlogs/all_comps/
2025-11-15,Sat,Matchweek 9,Home,W 3–0,Manchester City,Manchester Utd,Y,DM,90,0,0,0,0,2,1,0,0,43,3,1,1,0.4,0.4,0.0,2,0,19,28,67.9,3,17,0,1,1,Match Report,Yui Hasegawa,https://fbref.com/en/players/13633403/matchlogs/all_comps/
2025-11-09,Sun,Matchweek 8,Away,W 2–1,Manchester City,Everton,Y,DM,90,0,0,0,0,0,0,0,0,62,4,1,2,0.0,0.0,0.0,4,1,41,48,85.4,5,20,1,0,0,Match Report,Yui Hasegawa,https://fbref.com/en/players/13633403/matchlogs/all_comps/
2025-11-01,Sat,Matchweek 7,Home,W 1–0,Manchester City,West Ham,Y*,RM,90,0,0,0,0,3,0,0,0,69,1,0,2,0.5,0.5,0.1,3,0,49,60,81.7,3,27,1,1,1,Match Report,Yui Hasegawa,https://fbref.com/en/players/13633403/matchlogs/all_comps/
