Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Round,Unnamed: 3_level_0_Venue,Unnamed: 4_level_0_Result,Unnamed: 5_level_0_Squad,Unnamed: 6_level_0_Opponent,Unnamed: 7_level_0_Start,Unnamed: 8_level_0_Pos,Unnamed: 9_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 35_level_0_Match Report,Player_Name,Player_URL
2025-12-20,Sat,Matchweek 16,Away,L 1–2,Roma,Juventus,Y,CM,90,0,0,0,0,1,0,1,0,76,5,1,1,0.0,0.0,0.0,3,0,64,64,100.0,15,54,4,1,1,Match Report,Manu Koné,https://fbref.com/en/players/86574238/matchlogs/all_comps/
2025-12-15,Mon,Matchweek 15,Home,W 1–0,Roma,Como,Y,CM,90,0,0,0,0,0,0,0,0,59,3,1,2,0.0,0.0,0.2,4,1,39,47,83.0,6,33,1,0,0,Match Report,Manu Koné,https://fbref.com/en/players/86574238/matchlogs/all_comps/
2025-12-07,Sun,Matchweek 14,Away,L 0–1,Roma,Cagliari,Y,CM,90,0,0,0,0,0,0,0,0,55,2,2,0,0.0,0.0,0.0,1,0,41,45,91.1,12,34,1,4,1,Match Report,Manu Koné,https://fbref.com/en/players/86574238/matchlogs/all_comps/
2025-11-30,Sun,Matchweek 13,Home,L 0–1,Roma,Napoli,Y,CM,90,0,0,0,0,0,0,0,0,72,2,0,2,0.0,0.0,0.0,4,0,57,66,86.4,5,44,1,1,0,Match Report,Manu Koné,https://fbref.com/en/players/86574238/matchlogs/all_comps/
2025-11-23,Sun,Matchweek 12,Away,W 3–1,Roma,Cremonese,Y,CM,90,0,1,0,0,1,0,0,0,55,0,2,0,0.1,0.1,0.1,2,1,41,46,89.1,11,42,2,2,1,Match Report,Manu Koné,https://fbref.com/en/players/86574238/matchlogs/all_comps/
