Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Comp,Unnamed: 3_level_0_Round,Unnamed: 4_level_0_Venue,Unnamed: 5_level_0_Result,Unnamed: 6_level_0_Squad,Unnamed: 7_level_0_Opponent,Unnamed: 8_level_0_Start,Unnamed: 9_level_0_Pos,Unnamed: 10_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 36_level_0_Match Report,Player_Name,Player_URL
2025-12-19,Fri,Bundesliga,Matchweek 15,Home,W 2–0,Dortmund,Gladbach,Y,CB,90,0,0,0,0,1,0,1,0,118,2,1,1,0.2,0.2,0.0,2,0,95,109,87.2,15,84,3,3,3,Match Report,Nico Schlotterbeck,https://fbref.com/en/players/34e12499/matchlogs/all_comps/
2025-12-14,Sun,Bundesliga,Matchweek 14,Away,D 1–1,Dortmund,Freiburg,Y,CB,90,0,0,0,0,0,0,0,0,61,2,0,1,0.0,0.0,0.0,0,0,47,54,87.0,1,25,0,0,0,Match Report,Nico Schlotterbeck,https://fbref.com/en/players/34e12499/matchlogs/all_comps/
2025-12-07,Sun,Bundesliga,Matchweek 13,Home,W 2–0,Dortmund,Hoffenheim,Y*,CB,90,1,0,0,0,1,1,0,0,77,4,0,0,0.0,0.0,0.0,0,0,56,66,84.8,3,25,0,0,0,Match Report,Nico Schlotterbeck,https://fbref.com/en/players/34e12499/matchlogs/all_comps/
2025-11-29,Sat,Bundesliga,Matchweek 12,Away,W 2–1,Dortmund,Leverkusen,Y*,CB,90,0,0,0,0,0,0,1,0,75,0,2,1,0.0,0.0,0.0,1,0,55,68,80.9,8,50,1,0,0,Match Report,Nico Schlotterbeck,https://fbref.com/en/players/34e12499/matchlogs/all_comps/
2025-11-22,Sat,Bundesliga,Matchweek 11,Home,D 3–3,Dortmund,Stuttgart,Y,CB,90,0,0,0,0,0,0,0,0,69,4,1,2,0.0,0.0,0.5,2,1,44,54,81.5,4,36,3,2,1,Match Report,Nico Schlotterbeck,https://fbref.com/en/players/34e12499/matchlogs/all_comps/
