Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Round,Unnamed: 3_level_0_Venue,Unnamed: 4_level_0_Result,Unnamed: 5_level_0_Squad,Unnamed: 6_level_0_Opponent,Unnamed: 7_level_0_Start,Unnamed: 8_level_0_Pos,Unnamed: 9_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 35_level_0_Match Report,Player_Name,Player_URL
2025-12-14,Sun,Matchweek 11,Away,W 3–0,Chelsea,Brighton,Y,RB,79,0,0,0,0,0,0,0,0,77,2,1,1,0.0,0.0,0.0,0,0,54,67,80.6,3,45,1,2,1,Match Report,Lucy Bronze,https://fbref.com/en/players/5056c581/matchlogs/all_comps/
2025-12-07,Sun,Matchweek 10,Home,L 0–1,Chelsea,Everton,Y,CB,90,0,0,0,0,2,1,0,0,71,1,2,0,0.1,0.1,0.0,0,0,47,61,77.0,4,28,1,0,0,Match Report,Lucy Bronze,https://fbref.com/en/players/5056c581/matchlogs/all_comps/
2025-11-16,Sun,Matchweek 9,Away,D 1–1,Chelsea,Liverpool,N,CB,28,0,0,0,0,0,0,0,0,43,0,1,0,0.0,0.0,0.0,0,0,33,41,80.5,7,32,0,0,0,Match Report,Lucy Bronze,https://fbref.com/en/players/5056c581/matchlogs/all_comps/
2025-11-08,Sat,Matchweek 8,Away,D 1–1,Chelsea,Arsenal,Y,RB,60,0,0,0,0,1,0,0,0,46,0,2,2,0.1,0.1,0.1,4,0,28,35,80.0,3,22,3,2,1,Match Report,Lucy Bronze,https://fbref.com/en/players/5056c581/matchlogs/all_comps/
2025-11-01,Sat,Matchweek 7,Home,W 2–0,Chelsea,Lionesses,Y,CB,90,0,0,0,0,1,0,0,0,101,3,2,0,0.1,0.1,0.8,4,0,69,88,78.4,8,47,0,0,0,Match Report,Lucy Bronze,https://fbref.com/en/players/5056c581/matchlogs/all_comps/
