Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Round,Unnamed: 3_level_0_Venue,Unnamed: 4_level_0_Result,Unnamed: 5_level_0_Squad,Unnamed: 6_level_0_Opponent,Unnamed: 7_level_0_Start,Unnamed: 8_level_0_Pos,Unnamed: 9_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 35_level_0_Match Report,Player_Name,Player_URL
2025-11-23,Sun,Matchweek 12,Away,W 4–0,Barcelona,Levante,N,LW,18,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,12,17,70.6,4,14,1,1,0,Match Report,Aitana Bonmatí,https://fbref.com/en/players/f3d165f5/matchlogs/all_comps/
2025-11-15,Sat,Matchweek 11,Home,W 4–0,Barcelona,Real Madrid,N,RM,31,1,0,0,0,1,1,0,0,16,0,0,1,0.9,0.9,0.0,1,0,8,11,72.7,3,14,2,2,0,Match Report,Aitana Bonmatí,https://fbref.com/en/players/f3d165f5/matchlogs/all_comps/
2025-11-02,Sun,Matchweek 9,Away,L 0–1,Barcelona,Real Sociedad,Y,RM,90,0,0,0,0,1,0,0,0,78,1,0,0,0.1,0.1,0.0,2,0,57,74,77.0,8,47,2,4,1,Match Report,Aitana Bonmatí,https://fbref.com/en/players/f3d165f5/matchlogs/all_comps/
2025-10-19,Sun,Matchweek 8,Home,W 2–0,Barcelona,Granada,N,RM,20,0,0,0,0,3,1,0,0,26,0,1,0,0.1,0.1,0.0,0,0,18,20,90.0,5,10,1,0,0,Match Report,Aitana Bonmatí,https://fbref.com/en/players/f3d165f5/matchlogs/all_comps/
2025-10-12,Sun,Matchweek 7,Away,W 6–0,Barcelona,Atlético Madrid,Y,RM,90,0,2,0,0,2,1,0,0,94,0,0,0,0.1,0.1,0.6,8,2,78,85,91.8,3,64,2,2,1,Match Report,Aitana Bonmatí,https://fbref.com/en/players/f3d165f5/matchlogs/all_comps/
