Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Comp,Unnamed: 3_level_0_Round,Unnamed: 4_level_0_Venue,Unnamed: 5_level_0_Result,Unnamed: 6_level_0_Squad,Unnamed: 7_level_0_Opponent,Unnamed: 8_level_0_Start,Unnamed: 9_level_0_Pos,Unnamed: 10_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 36_level_0_Match Report,Player_Name,Player_URL
2025-10-26,Sun,Ligue 1,Matchweek 9,Home,W 2–1,Lyon,Strasbourg,Y,LW,67,0,0,0,0,1,0,0,0,24,3,0,0,0.1,0.1,0.0,1,0,13,18,72.2,1,19,1,1,0,Match Report,Malick Fofana,https://fbref.com/en/players/8236f673/matchlogs/all_comps/
2025-10-18,Sat,Ligue 1,Matchweek 8,Away,L 2–3,Lyon,Nice,Y,LW,76,0,0,0,0,3,1,0,0,34,2,0,0,0.1,0.1,0.0,3,0,16,26,61.5,0,21,1,2,1,Match Report,Malick Fofana,https://fbref.com/en/players/8236f673/matchlogs/all_comps/
2025-10-05,Sun,Ligue 1,Matchweek 7,Home,L 1–2,Lyon,Toulouse,Y,LW,90,1,0,0,0,5,2,0,0,38,1,0,1,0.8,0.8,0.1,4,0,18,25,72.0,1,18,3,1,0,Match Report,Malick Fofana,https://fbref.com/en/players/8236f673/matchlogs/all_comps/
2025-09-28,Sun,Ligue 1,Matchweek 6,Away,W 1–0,Lyon,Lille,Y,LW,89,0,0,0,0,3,1,1,0,40,2,1,1,0.1,0.1,0.0,2,0,18,22,81.8,1,24,3,3,1,Match Report,Malick Fofana,https://fbref.com/en/players/8236f673/matchlogs/all_comps/
2025-09-19,Fri,Ligue 1,Matchweek 5,Home,W 1–0,Lyon,Angers,Y,LW,89,0,0,0,0,2,1,0,0,47,1,0,0,0.5,0.5,0.7,8,0,29,36,80.6,4,39,5,3,1,Match Report,Malick Fofana,https://fbref.com/en/players/8236f673/matchlogs/all_comps/
