Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Round,Unnamed: 3_level_0_Venue,Unnamed: 4_level_0_Result,Unnamed: 5_level_0_Squad,Unnamed: 6_level_0_Opponent,Unnamed: 7_level_0_Start,Unnamed: 8_level_0_Pos,Unnamed: 9_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 35_level_0_Match Report,Player_Name,Player_URL
2025-11-02,Sun,Matchweek 10,Home,W 3–1,Manchester City,Bournemouth,N,DM,1,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,9,10,90.0,1,5,0,0,0,Match Report,Rodri,https://fbref.com/en/players/6434f10d/matchlogs/all_comps/
2025-10-05,Sun,Matchweek 7,Away,W 1–0,Manchester City,Brentford,Y,DM,21,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,1,0,23,25,92.0,0,20,0,0,0,Match Report,Rodri,https://fbref.com/en/players/6434f10d/matchlogs/all_comps/
2025-09-21,Sun,Matchweek 5,Away,D 1–1,Manchester City,Arsenal,Y,"DM,CM",90,0,0,0,0,1,0,0,0,62,2,0,1,0.1,0.1,0.0,0,0,37,42,88.1,2,25,0,1,1,Match Report,Rodri,https://fbref.com/en/players/6434f10d/matchlogs/all_comps/
2025-09-14,Sun,Matchweek 4,Home,W 3–0,Manchester City,Manchester Utd,Y,DM,75,0,0,0,0,0,0,0,0,63,2,1,0,0.0,0.0,0.0,0,0,47,57,82.5,4,41,1,0,0,Match Report,Rodri,https://fbref.com/en/players/6434f10d/matchlogs/all_comps/
2025-08-31,Sun,Matchweek 3,Away,L 1–2,Manchester City,Brighton,Y,CM,90,0,0,0,0,1,0,0,0,106,1,1,0,0.0,0.0,0.1,3,0,87,100,87.0,11,63,2,3,1,Match Report,Rodri,https://fbref.com/en/players/6434f10d/matchlogs/all_comps/
