Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Round,Unnamed: 3_level_0_Venue,Unnamed: 4_level_0_Result,Unnamed: 5_level_0_Squad,Unnamed: 6_level_0_Opponent,Unnamed: 7_level_0_Start,Unnamed: 8_level_0_Pos,Unnamed: 9_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 35_level_0_Match Report,Player_Name,Player_URL
2025-12-28,Sun,Matchweek 17,Home,W 3–0,Milan,Hellas Verona,Y,FW,75,1,0,0,0,1,1,0,0,36,1,0,0,0.3,0.3,0.0,1,0,15,22,68.2,2,21,2,2,0,Match Report,Christian Pulisic,https://fbref.com/en/players/1bf33a9a/matchlogs/all_comps/
2025-12-14,Sun,Matchweek 15,Home,D 2–2,Milan,Sassuolo,Y,FW,72,0,0,0,0,1,0,0,0,35,0,1,0,0.1,0.1,0.0,2,0,23,27,85.2,4,18,0,3,0,Match Report,Christian Pulisic,https://fbref.com/en/players/1bf33a9a/matchlogs/all_comps/
2025-12-08,Mon,Matchweek 14,Away,W 3–2,Milan,Torino,N,FW,25,2,0,0,0,2,2,0,0,15,0,0,0,0.4,0.4,0.1,2,0,9,12,75.0,3,10,2,0,0,Match Report,Christian Pulisic,https://fbref.com/en/players/1bf33a9a/matchlogs/all_comps/
2025-11-23,Sun,Matchweek 12,Away,W 1–0,Milan,Inter,Y,FW,77,1,0,0,0,2,1,0,0,35,0,0,1,0.8,0.8,0.0,1,0,17,24,70.8,3,21,5,5,2,Match Report,Christian Pulisic,https://fbref.com/en/players/1bf33a9a/matchlogs/all_comps/
2025-11-08,Sat,Matchweek 11,Away,D 2–2,Milan,Parma,N,"FW,RW",21,0,0,0,0,1,0,0,0,11,0,0,0,0.5,0.5,0.2,1,0,10,10,100.0,3,6,0,1,1,Match Report,Christian Pulisic,https://fbref.com/en/players/1bf33a9a/matchlogs/all_comps/
