Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Round,Unnamed: 3_level_0_Venue,Unnamed: 4_level_0_Result,Unnamed: 5_level_0_Squad,Unnamed: 6_level_0_Opponent,Unnamed: 7_level_0_Start,Unnamed: 8_level_0_Pos,Unnamed: 9_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 35_level_0_Match Report,Player_Name,Player_URL
2025-12-27,Sat,Matchweek 18,Away,W 2–1,Manchester City,Nott'ham Forest,Y,RB,90,0,0,0,0,1,0,0,0,98,5,0,0,0.0,0.0,0.0,2,0,76,83,91.6,8,64,1,2,2,Match Report,Matheus Nunes,https://fbref.com/en/players/e6af02e0/matchlogs/all_comps/
2025-12-20,Sat,Matchweek 17,Home,W 3–0,Manchester City,West Ham,Y,"RB,CM",90,0,0,0,0,0,0,0,0,127,6,1,1,0.0,0.0,0.0,2,0,105,114,92.1,12,93,4,5,3,Match Report,Matheus Nunes,https://fbref.com/en/players/e6af02e0/matchlogs/all_comps/
2025-12-14,Sun,Matchweek 16,Away,W 3–0,Manchester City,Crystal Palace,Y,RB,90,0,1,0,0,0,0,0,0,91,2,1,1,0.0,0.0,0.2,1,1,64,77,83.1,2,64,3,2,0,Match Report,Matheus Nunes,https://fbref.com/en/players/e6af02e0/matchlogs/all_comps/
2025-12-06,Sat,Matchweek 15,Home,W 3–0,Manchester City,Sunderland,Y,RB,90,0,0,0,0,0,0,0,0,84,1,2,2,0.0,0.0,0.0,3,0,73,77,94.8,7,67,1,2,1,Match Report,Matheus Nunes,https://fbref.com/en/players/e6af02e0/matchlogs/all_comps/
2025-12-02,Tue,Matchweek 14,Away,W 5–4,Manchester City,Fulham,Y,RB,90,0,0,0,0,0,0,0,0,73,4,2,2,0.0,0.0,0.1,3,0,46,57,80.7,0,40,2,2,1,Match Report,Matheus Nunes,https://fbref.com/en/players/e6af02e0/matchlogs/all_comps/
