Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Round,Unnamed: 3_level_0_Venue,Unnamed: 4_level_0_Result,Unnamed: 5_level_0_Squad,Unnamed: 6_level_0_Opponent,Unnamed: 7_level_0_Start,Unnamed: 8_level_0_Pos,Unnamed: 9_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 35_level_0_Match Report,Player_Name,Player_URL
2025-12-13,Sat,Matchweek 11,Away,W 3–1,Arsenal,Everton,Y,RW,62,0,0,0,0,2,2,0,0,59,1,1,2,0.2,0.2,0.0,3,0,39,51,76.5,4,41,0,0,0,Match Report,Beth Mead,https://fbref.com/en/players/921c8f1d/matchlogs/all_comps/
2025-12-06,Sat,Matchweek 10,Home,W 2–1,Arsenal,Liverpool,Y,RW,57,0,0,0,0,1,0,0,0,44,2,0,0,0.0,0.0,0.2,5,0,27,39,69.2,4,26,4,0,0,Match Report,Beth Mead,https://fbref.com/en/players/921c8f1d/matchlogs/all_comps/
2025-11-16,Sun,Matchweek 9,Away,D 0–0,Arsenal,Tottenham,Y,RM,45,0,0,0,0,1,0,0,0,30,0,0,2,0.1,0.1,0.2,2,0,19,26,73.1,2,8,1,0,0,Match Report,Beth Mead,https://fbref.com/en/players/921c8f1d/matchlogs/all_comps/
2025-11-08,Sat,Matchweek 8,Home,D 1–1,Arsenal,Chelsea,Y,RM,61,0,0,0,0,0,0,0,0,41,4,0,1,0.0,0.0,0.0,1,0,22,31,71.0,3,24,2,1,0,Match Report,Beth Mead,https://fbref.com/en/players/921c8f1d/matchlogs/all_comps/
2025-11-02,Sun,Matchweek 7,Away,W 4–1,Arsenal,Leicester City,Y,RM,90,0,1,0,0,1,1,0,0,58,2,1,2,0.3,0.3,0.2,2,2,27,45,60.0,4,33,4,5,2,Match Report,Beth Mead,https://fbref.com/en/players/921c8f1d/matchlogs/all_comps/
