Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Comp,Unnamed: 3_level_0_Round,Unnamed: 4_level_0_Venue,Unnamed: 5_level_0_Result,Unnamed: 6_level_0_Squad,Unnamed: 7_level_0_Opponent,Unnamed: 8_level_0_Start,Unnamed: 9_level_0_Pos,Unnamed: 10_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 36_level_0_Match Report,Player_Name,Player_URL
2025-12-28,Sun,Primeira Liga,Matchweek 16,Away,D 2–2,Benfica,Braga,Y,"DM,CM",90,0,0,0,0,0,0,0,0,77,5,1,0,0.0,0.0,0.0,1,0,57,67,85.1,2,32,1,0,0,Match Report,Enzo Barrenechea,https://fbref.com/en/players/6caffe81/matchlogs/all_comps/
2025-12-22,Mon,Primeira Liga,Matchweek 15,Home,W 1–0,Benfica,Famalicão,Y,DM,90,0,0,0,0,0,0,0,0,74,2,4,0,0.0,0.0,0.0,0,0,56,66,84.8,2,49,0,0,0,Match Report,Enzo Barrenechea,https://fbref.com/en/players/6caffe81/matchlogs/all_comps/
2025-12-14,Sun,Primeira Liga,Matchweek 14,Away,W 4–0,Benfica,Moreirense,Y,DM,81,0,0,0,0,0,0,0,0,64,3,2,0,0.0,0.0,0.0,0,0,52,58,89.7,5,32,0,1,1,Match Report,Enzo Barrenechea,https://fbref.com/en/players/6caffe81/matchlogs/all_comps/
2025-12-05,Fri,Primeira Liga,Matchweek 13,Home,D 1–1,Benfica,Sporting CP,Y,DM,87,0,0,0,0,1,0,0,0,60,5,3,1,0.0,0.0,0.0,0,0,40,50,80.0,3,31,0,1,0,Match Report,Enzo Barrenechea,https://fbref.com/en/players/6caffe81/matchlogs/all_comps/
2025-11-29,Sat,Primeira Liga,Matchweek 12,Away,W 2–1,Benfica,Nacional,Y,DM,63,0,0,0,0,2,0,1,0,74,1,1,0,0.1,0.1,0.0,4,0,60,68,88.2,12,43,0,0,0,Match Report,Enzo Barrenechea,https://fbref.com/en/players/6caffe81/matchlogs/all_comps/
