Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Round,Unnamed: 3_level_0_Venue,Unnamed: 4_level_0_Result,Unnamed: 5_level_0_Squad,Unnamed: 6_level_0_Opponent,Unnamed: 7_level_0_Start,Unnamed: 8_level_0_Pos,Unnamed: 9_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 35_level_0_Match Report,Player_Name,Player_URL
2025-12-27,Sat,Matchweek 18,Home,L 1–2,Nott'ham Forest,Manchester City,Y,"DM,CM",90,0,0,0,0,0,0,1,0,76,4,3,1,0.0,0.0,0.0,3,0,48,63,76.2,3,43,0,4,2,Match Report,Elliot Anderson,https://fbref.com/en/players/de31038e/matchlogs/all_comps/
2025-12-22,Mon,Matchweek 17,Away,L 0–1,Nott'ham Forest,Fulham,Y,DM,90,0,0,0,0,1,0,0,0,92,1,1,2,0.0,0.0,0.0,3,0,66,79,83.5,8,59,0,1,0,Match Report,Elliot Anderson,https://fbref.com/en/players/de31038e/matchlogs/all_comps/
2025-12-14,Sun,Matchweek 16,Home,W 3–0,Nott'ham Forest,Tottenham,Y,"DM,AM",90,0,0,0,0,0,0,0,0,79,1,0,6,0.0,0.0,0.0,3,0,50,64,78.1,5,48,0,1,0,Match Report,Elliot Anderson,https://fbref.com/en/players/de31038e/matchlogs/all_comps/
2025-12-06,Sat,Matchweek 15,Away,L 0–3,Nott'ham Forest,Everton,Y,DM,90,0,0,0,0,1,1,0,0,81,6,1,1,0.0,0.0,0.0,2,0,62,70,88.6,9,46,1,2,1,Match Report,Elliot Anderson,https://fbref.com/en/players/de31038e/matchlogs/all_comps/
2025-12-03,Wed,Matchweek 14,Away,W 1–0,Nott'ham Forest,Wolves,Y,DM,90,0,0,0,0,1,0,1,0,80,1,0,1,0.0,0.0,0.0,3,0,53,70,75.7,8,45,2,2,0,Match Report,Elliot Anderson,https://fbref.com/en/players/de31038e/matchlogs/all_comps/
