Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Round,Unnamed: 3_level_0_Venue,Unnamed: 4_level_0_Result,Unnamed: 5_level_0_Squad,Unnamed: 6_level_0_Opponent,Unnamed: 7_level_0_Start,Unnamed: 8_level_0_Pos,Unnamed: 9_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 35_level_0_Match Report,Player_Name,Player_URL
2025-12-27,Sat,Matchweek 18,Home,W 4–1,Brentford,Bournemouth,N,DM,2,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,1,4,7,57.1,1,2,0,0,0,Match Report,Jordan Henderson,https://fbref.com/en/players/935e6b8f/matchlogs/all_comps/
2025-12-14,Sun,Matchweek 16,Home,D 1–1,Brentford,Leeds United,Y,"DM,CM",90,1,0,0,0,2,1,0,0,83,1,0,2,0.3,0.3,0.2,2,0,56,76,73.7,6,36,0,0,0,Match Report,Jordan Henderson,https://fbref.com/en/players/935e6b8f/matchlogs/all_comps/
2025-12-06,Sat,Matchweek 15,Away,L 0–2,Brentford,Tottenham,Y,DM,90,0,0,0,0,0,0,0,0,71,5,0,1,0.0,0.0,0.1,2,0,43,55,78.2,6,35,0,1,0,Match Report,Jordan Henderson,https://fbref.com/en/players/935e6b8f/matchlogs/all_comps/
2025-12-03,Wed,Matchweek 14,Away,L 0–2,Brentford,Arsenal,N,"DM,CM",30,0,0,0,0,0,0,0,0,22,1,0,0,0.0,0.0,0.0,1,0,16,21,76.2,1,13,0,0,0,Match Report,Jordan Henderson,https://fbref.com/en/players/935e6b8f/matchlogs/all_comps/
2025-11-29,Sat,Matchweek 13,Home,W 3–1,Brentford,Burnley,Y,DM,90,0,1,0,0,0,0,0,0,74,1,2,1,0.0,0.0,0.5,2,1,47,70,67.1,5,38,0,0,0,Match Report,Jordan Henderson,https://fbref.com/en/players/935e6b8f/matchlogs/all_comps/
