Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Round,Unnamed: 3_level_0_Venue,Unnamed: 4_level_0_Result,Unnamed: 5_level_0_Squad,Unnamed: 6_level_0_Opponent,Unnamed: 7_level_0_Start,Unnamed: 8_level_0_Pos,Unnamed: 9_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 35_level_0_Match Report,Player_Name,Player_URL
2025-12-27,Sat,Matchweek 17,Away,W 2–0,Juventus,Pisa,Y*,CM,59,0,0,0,0,1,1,1,0,86,2,1,1,0.0,0.0,0.0,3,0,64,71,90.1,14,47,1,0,0,Match Report,Manuel Locatelli,https://fbref.com/en/players/a8a874f1/matchlogs/all_comps/
2025-12-20,Sat,Matchweek 16,Home,W 2–1,Juventus,Roma,Y*,CM,90,0,0,0,0,1,1,0,0,70,5,1,1,0.0,0.0,0.1,2,0,51,58,87.9,5,19,1,0,0,Match Report,Manuel Locatelli,https://fbref.com/en/players/a8a874f1/matchlogs/all_comps/
2025-12-14,Sun,Matchweek 15,Away,W 1–0,Juventus,Bologna,Y*,CM,90,0,0,0,0,0,0,0,0,89,2,0,3,0.0,0.0,0.1,3,0,67,81,82.7,2,45,0,0,0,Match Report,Manuel Locatelli,https://fbref.com/en/players/a8a874f1/matchlogs/all_comps/
2025-12-07,Sun,Matchweek 14,Away,L 1–2,Juventus,Napoli,Y*,CM,90,0,0,0,0,1,0,0,0,111,5,4,1,0.0,0.0,0.1,1,0,87,96,90.6,6,57,1,0,0,Match Report,Manuel Locatelli,https://fbref.com/en/players/a8a874f1/matchlogs/all_comps/
2025-11-29,Sat,Matchweek 13,Home,W 2–1,Juventus,Cagliari,Y*,CM,90,0,0,0,0,0,0,0,0,102,3,2,0,0.0,0.0,0.0,5,0,85,93,91.4,9,63,1,1,0,Match Report,Manuel Locatelli,https://fbref.com/en/players/a8a874f1/matchlogs/all_comps/
