Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Round,Unnamed: 3_level_0_Venue,Unnamed: 4_level_0_Result,Unnamed: 5_level_0_Squad,Unnamed: 6_level_0_Opponent,Unnamed: 7_level_0_Start,Unnamed: 8_level_0_Pos,Unnamed: 9_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 35_level_0_Match Report,Player_Name,Player_URL
2025-12-27,Sat,Matchweek 18,Away,W 2–1,Manchester City,Nott'ham Forest,Y,FW,90,0,0,0,0,2,0,0,0,14,0,0,0,0.2,0.2,0.1,1,0,5,7,71.4,3,5,0,0,0,Match Report,Erling Haaland,https://fbref.com/en/players/1f44ac21/matchlogs/all_comps/
2025-12-20,Sat,Matchweek 17,Home,W 3–0,Manchester City,West Ham,Y,FW,90,2,1,0,0,7,3,0,0,13,0,0,0,1.0,1.0,0.1,2,2,4,6,66.7,1,3,0,0,0,Match Report,Erling Haaland,https://fbref.com/en/players/1f44ac21/matchlogs/all_comps/
2025-12-14,Sun,Matchweek 16,Away,W 3–0,Manchester City,Crystal Palace,Y,FW,89,2,0,1,1,1,1,0,0,22,3,0,0,1.0,0.2,0.0,1,0,6,12,50.0,0,9,0,0,0,Match Report,Erling Haaland,https://fbref.com/en/players/1f44ac21/matchlogs/all_comps/
2025-12-06,Sat,Matchweek 15,Home,W 3–0,Manchester City,Sunderland,Y,FW,68,0,0,0,0,1,0,0,0,10,0,1,0,0.4,0.4,0.0,0,0,5,5,100.0,1,5,1,1,0,Match Report,Erling Haaland,https://fbref.com/en/players/1f44ac21/matchlogs/all_comps/
2025-12-02,Tue,Matchweek 14,Away,W 5–4,Manchester City,Fulham,Y,FW,90,1,2,0,0,5,1,0,0,32,0,1,0,1.2,1.2,1.0,2,1,12,18,66.7,1,17,1,1,0,Match Report,Erling Haaland,https://fbref.com/en/players/1f44ac21/matchlogs/all_comps/
