Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Round,Unnamed: 3_level_0_Venue,Unnamed: 4_level_0_Result,Unnamed: 5_level_0_Squad,Unnamed: 6_level_0_Opponent,Unnamed: 7_level_0_Start,Unnamed: 8_level_0_Pos,Unnamed: 9_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 35_level_0_Match Report,Player_Name,Player_URL
2025-12-27,Sat,Matchweek 18,Away,L 1–2,Wolves,Liverpool,Y,CM,90,0,0,0,0,0,0,0,0,56,4,2,1,0.0,0.0,0.0,2,0,31,42,73.8,4,29,2,1,1,Match Report,João Gomes,https://fbref.com/en/players/8b57ad2c/matchlogs/all_comps/
2025-12-20,Sat,Matchweek 17,Home,L 0–2,Wolves,Brentford,Y,CM,90,0,0,0,0,0,0,1,0,55,0,2,3,0.0,0.0,0.0,3,0,38,42,90.5,7,31,3,4,3,Match Report,João Gomes,https://fbref.com/en/players/8b57ad2c/matchlogs/all_comps/
2025-12-13,Sat,Matchweek 16,Away,L 1–2,Wolves,Arsenal,Y,"CM,DM",90,0,0,0,0,0,0,0,0,42,3,2,3,0.0,0.0,0.0,1,0,22,31,71.0,3,18,2,1,1,Match Report,João Gomes,https://fbref.com/en/players/8b57ad2c/matchlogs/all_comps/
2025-12-03,Wed,Matchweek 14,Home,L 0–1,Wolves,Nott'ham Forest,Y,CM,84,0,0,0,0,0,0,1,0,46,2,1,0,0.0,0.0,0.0,0,0,33,40,82.5,3,32,2,1,1,Match Report,João Gomes,https://fbref.com/en/players/8b57ad2c/matchlogs/all_comps/
2025-11-30,Sun,Matchweek 13,Away,L 0–1,Wolves,Aston Villa,Y,CM,90,0,0,0,0,1,1,0,0,71,3,1,1,0.0,0.0,0.0,1,0,55,61,90.2,3,36,2,2,1,Match Report,João Gomes,https://fbref.com/en/players/8b57ad2c/matchlogs/all_comps/
