Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Round,Unnamed: 3_level_0_Venue,Unnamed: 4_level_0_Result,Unnamed: 5_level_0_Squad,Unnamed: 6_level_0_Opponent,Unnamed: 7_level_0_Start,Unnamed: 8_level_0_Pos,Unnamed: 9_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 35_level_0_Match Report,Player_Name,Player_URL
2025-12-06,Sat,Matchweek 15,Away,L 1–2,Arsenal,Aston Villa,N,RW,12,0,0,0,0,1,0,0,0,6,0,0,0,0.1,0.1,0.0,0,0,2,3,66.7,1,3,2,3,1,Match Report,Noni Madueke,https://fbref.com/en/players/bf34eebd/matchlogs/all_comps/
2025-12-03,Wed,Matchweek 14,Home,W 2–0,Arsenal,Brentford,Y,RW,60,0,0,0,0,2,1,0,0,39,2,0,0,0.1,0.1,0.0,4,1,17,25,68.0,2,22,3,5,2,Match Report,Noni Madueke,https://fbref.com/en/players/bf34eebd/matchlogs/all_comps/
2025-11-30,Sun,Matchweek 13,Away,D 1–1,Arsenal,Chelsea,N,LW,34,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,1,0,11,15,73.3,1,16,4,1,0,Match Report,Noni Madueke,https://fbref.com/en/players/bf34eebd/matchlogs/all_comps/
2025-11-23,Sun,Matchweek 12,Home,W 4–1,Arsenal,Tottenham,N,LW,13,0,0,0,0,0,0,0,0,7,0,1,0,0.0,0.0,0.0,0,0,3,5,60.0,1,6,1,2,1,Match Report,Noni Madueke,https://fbref.com/en/players/bf34eebd/matchlogs/all_comps/
2025-09-21,Sun,Matchweek 5,Home,D 1–1,Arsenal,Manchester City,Y,RW,45,0,0,0,0,2,1,0,0,31,0,0,1,0.2,0.2,0.0,0,0,10,22,45.5,1,18,3,3,0,Match Report,Noni Madueke,https://fbref.com/en/players/bf34eebd/matchlogs/all_comps/
