Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Round,Unnamed: 3_level_0_Venue,Unnamed: 4_level_0_Result,Unnamed: 5_level_0_Squad,Unnamed: 6_level_0_Opponent,Unnamed: 7_level_0_Start,Unnamed: 8_level_0_Pos,Unnamed: 9_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 35_level_0_Match Report,Player_Name,Player_URL
2025-12-20,Sat,Matchweek 17,Home,L 1–2,Tottenham,Liverpool,Y,FW,32,0,0,0,0,0,0,0,1,22,1,0,0,0.0,0.0,0.0,2,0,16,19,84.2,0,10,0,1,1,Match Report,Xavi Simons,https://fbref.com/en/players/da4d670f/matchlogs/all_comps/
2025-12-14,Sun,Matchweek 16,Away,L 0–3,Tottenham,Nott'ham Forest,Y,AM,90,0,0,0,0,0,0,0,0,59,6,2,1,0.0,0.0,0.1,2,0,30,42,71.4,4,29,1,2,1,Match Report,Xavi Simons,https://fbref.com/en/players/da4d670f/matchlogs/all_comps/
2025-12-06,Sat,Matchweek 15,Home,W 2–0,Tottenham,Brentford,Y,AM,90,1,1,0,0,4,2,0,0,57,1,1,1,0.3,0.3,0.9,4,1,37,45,82.2,8,37,5,0,0,Match Report,Xavi Simons,https://fbref.com/en/players/da4d670f/matchlogs/all_comps/
2025-12-02,Tue,Matchweek 14,Away,D 2–2,Tottenham,Newcastle Utd,N,AM,14,0,0,0,0,1,0,0,0,11,0,0,0,0.1,0.1,0.0,1,1,9,10,90.0,2,7,0,0,0,Match Report,Xavi Simons,https://fbref.com/en/players/da4d670f/matchlogs/all_comps/
2025-11-29,Sat,Matchweek 13,Home,L 1–2,Tottenham,Fulham,N,FW,31,0,0,0,0,2,0,0,0,21,0,0,0,0.1,0.1,0.0,1,0,10,14,71.4,3,13,0,2,1,Match Report,Xavi Simons,https://fbref.com/en/players/da4d670f/matchlogs/all_comps/
