Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Round,Unnamed: 3_level_0_Venue,Unnamed: 4_level_0_Result,Unnamed: 5_level_0_Squad,Unnamed: 6_level_0_Opponent,Unnamed: 7_level_0_Start,Unnamed: 8_level_0_Pos,Unnamed: 9_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 35_level_0_Match Report,Player_Name,Player_URL
2025-12-27,Sat,Matchweek 18,Home,L 1–2,Nott'ham Forest,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,49,3,1,2,0.0,0.0,0.0,0,0,24,31,77.4,2,13,0,1,0,Match Report,Murillo,https://fbref.com/en/players/1704b0b8/matchlogs/all_comps/
2025-12-22,Mon,Matchweek 17,Away,L 0–1,Nott'ham Forest,Fulham,Y,CB,90,0,0,0,0,1,1,1,0,78,1,1,3,0.0,0.0,0.0,1,0,55,66,83.3,4,51,0,2,0,Match Report,Murillo,https://fbref.com/en/players/1704b0b8/matchlogs/all_comps/
2025-12-14,Sun,Matchweek 16,Home,W 3–0,Nott'ham Forest,Tottenham,Y,CB,90,0,0,0,0,0,0,0,0,48,2,1,0,0.0,0.0,0.0,1,0,37,42,88.1,2,28,0,0,0,Match Report,Murillo,https://fbref.com/en/players/1704b0b8/matchlogs/all_comps/
2025-11-22,Sat,Matchweek 12,Away,W 3–0,Nott'ham Forest,Liverpool,Y,CB,90,1,0,0,0,3,2,0,0,40,2,1,4,0.2,0.2,0.2,4,0,15,17,88.2,3,7,0,0,0,Match Report,Murillo,https://fbref.com/en/players/1704b0b8/matchlogs/all_comps/
2025-11-09,Sun,Matchweek 11,Home,W 3–1,Nott'ham Forest,Leeds United,Y,CB,90,0,0,0,0,0,0,1,0,71,3,1,0,0.0,0.0,0.0,3,1,54,63,85.7,8,45,0,1,1,Match Report,Murillo,https://fbref.com/en/players/1704b0b8/matchlogs/all_comps/
