Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Comp,Unnamed: 3_level_0_Round,Unnamed: 4_level_0_Venue,Unnamed: 5_level_0_Result,Unnamed: 6_level_0_Squad,Unnamed: 7_level_0_Opponent,Unnamed: 8_level_0_Start,Unnamed: 9_level_0_Pos,Unnamed: 10_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 36_level_0_Match Report,Player_Name,Player_URL
2025-11-30,Sun,Ligue 1,Matchweek 14,Away,W 1–0,Lille,Le Havre,Y,DM,50,0,0,0,0,0,0,0,1,29,0,0,1,0.0,0.0,0.0,0,0,20,26,76.9,1,22,1,0,0,Match Report,Ayyoub Bouaddi,https://fbref.com/en/players/8006228f/matchlogs/all_comps/
2025-11-23,Sun,Ligue 1,Matchweek 13,Home,W 4–2,Lille,Paris FC,Y,CM,90,0,0,0,0,1,0,0,0,50,1,1,1,0.1,0.1,0.0,2,1,30,38,78.9,4,27,2,1,1,Match Report,Ayyoub Bouaddi,https://fbref.com/en/players/8006228f/matchlogs/all_comps/
2025-11-09,Sun,Ligue 1,Matchweek 12,Away,L 0–2,Lille,Strasbourg,Y,DM,84,0,0,0,0,0,0,0,0,39,1,0,3,0.0,0.0,0.0,1,0,29,34,85.3,5,25,2,0,0,Match Report,Ayyoub Bouaddi,https://fbref.com/en/players/8006228f/matchlogs/all_comps/
2025-11-02,Sun,Ligue 1,Matchweek 11,Home,W 1–0,Lille,Angers,Y,DM,90,0,1,0,0,1,0,0,0,61,4,0,2,0.3,0.3,0.3,3,0,44,49,89.8,3,32,1,2,2,Match Report,Ayyoub Bouaddi,https://fbref.com/en/players/8006228f/matchlogs/all_comps/
2025-10-29,Wed,Ligue 1,Matchweek 10,Away,L 0–2,Lille,Nice,Y,DM,68,0,0,0,0,0,0,1,0,43,4,0,1,0.0,0.0,0.1,2,0,30,35,85.7,3,27,0,0,0,Match Report,Ayyoub Bouaddi,https://fbref.com/en/players/8006228f/matchlogs/all_comps/
