Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Round,Unnamed: 3_level_0_Venue,Unnamed: 4_level_0_Result,Unnamed: 5_level_0_Squad,Unnamed: 6_level_0_Opponent,Unnamed: 7_level_0_Start,Unnamed: 8_level_0_Pos,Unnamed: 9_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 35_level_0_Match Report,Player_Name,Player_URL
2025-12-28,Sun,Matchweek 17,Home,L 0–1,Atalanta,Inter,Y,"CM,DM",90,0,0,0,0,3,0,0,0,65,4,3,1,0.3,0.3,0.0,1,0,43,49,87.8,5,41,2,2,1,Match Report,Éderson,https://fbref.com/en/players/a9202def/matchlogs/all_comps/
2025-12-21,Sun,Matchweek 16,Away,W 1–0,Atalanta,Genoa,Y,CM,81,0,0,0,0,4,1,0,0,73,2,1,0,0.4,0.4,0.0,3,0,57,61,93.4,7,45,2,1,0,Match Report,Éderson,https://fbref.com/en/players/a9202def/matchlogs/all_comps/
2025-12-13,Sat,Matchweek 15,Home,W 2–1,Atalanta,Cagliari,Y,CM,65,0,0,0,0,0,0,0,0,76,3,2,1,0.0,0.0,0.1,2,0,61,71,85.9,2,57,1,0,0,Match Report,Éderson,https://fbref.com/en/players/a9202def/matchlogs/all_comps/
2025-12-06,Sat,Matchweek 14,Away,L 1–3,Atalanta,Hellas Verona,Y,CM,60,0,0,0,0,1,0,0,0,44,2,0,2,0.0,0.0,0.0,1,0,30,36,83.3,4,27,1,3,2,Match Report,Éderson,https://fbref.com/en/players/a9202def/matchlogs/all_comps/
2025-11-30,Sun,Matchweek 13,Home,W 2–0,Atalanta,Fiorentina,Y,CM,66,0,0,0,0,1,0,0,0,50,1,0,0,0.1,0.1,0.1,3,0,41,44,93.2,3,36,1,0,0,Match Report,Éderson,https://fbref.com/en/players/a9202def/matchlogs/all_comps/
