Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Comp,Unnamed: 3_level_0_Round,Unnamed: 4_level_0_Venue,Unnamed: 5_level_0_Result,Unnamed: 6_level_0_Squad,Unnamed: 7_level_0_Opponent,Unnamed: 8_level_0_Start,Unnamed: 9_level_0_Pos,Unnamed: 10_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 36_level_0_Match Report,Player_Name,Player_URL
2025-12-12,Fri,Bundesliga,Matchweek 14,Away,L 1–3,RB Leipzig,Union Berlin,Y,"LW,LM",90,0,0,0,0,2,1,0,0,65,3,0,0,0.1,0.1,0.0,8,1,32,38,84.2,1,38,2,13,5,Match Report,Yan Diomandé,https://fbref.com/en/players/919f5f54/matchlogs/all_comps/
2025-12-06,Sat,Bundesliga,Matchweek 13,Home,W 6–0,RB Leipzig,Eint Frankfurt,Y,RW,86,3,0,0,0,3,3,0,0,45,1,0,0,1.0,1.0,0.0,2,1,28,31,90.3,7,36,4,8,4,Match Report,Yan Diomandé,https://fbref.com/en/players/919f5f54/matchlogs/all_comps/
2025-11-28,Fri,Bundesliga,Matchweek 12,Away,D 0–0,RB Leipzig,Gladbach,Y,"RW,LW",90,0,0,0,0,2,0,0,0,53,1,1,1,0.2,0.2,0.2,7,0,34,39,87.2,6,31,3,3,2,Match Report,Yan Diomandé,https://fbref.com/en/players/919f5f54/matchlogs/all_comps/
2025-11-23,Sun,Bundesliga,Matchweek 11,Home,W 2–0,RB Leipzig,Werder Bremen,Y,"RW,LW",89,0,0,0,0,4,2,0,0,73,2,1,0,0.2,0.2,0.0,5,1,48,54,88.9,4,43,5,5,2,Match Report,Yan Diomandé,https://fbref.com/en/players/919f5f54/matchlogs/all_comps/
2025-11-08,Sat,Bundesliga,Matchweek 10,Away,L 1–3,RB Leipzig,Hoffenheim,Y,RW,66,1,0,0,0,3,2,0,0,43,2,0,1,0.4,0.4,0.1,5,1,23,29,79.3,2,31,7,6,4,Match Report,Yan Diomandé,https://fbref.com/en/players/919f5f54/matchlogs/all_comps/
