Unnamed: 0_level_0_Date,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Round,Unnamed: 3_level_0_Venue,Unnamed: 4_level_0_Result,Unnamed: 5_level_0_Squad,Unnamed: 6_level_0_Opponent,Unnamed: 7_level_0_Start,Unnamed: 8_level_0_Pos,Unnamed: 9_level_0_Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Unnamed: 35_level_0_Match Report,Player_Name,Player_URL
2025-12-20,Sat,Matchweek 17,Home,W 2–0,Real Madrid,Sevilla,Y*,LW,82,0,0,0,0,1,1,0,0,33,1,0,3,0.0,0.0,0.2,5,0,19,23,82.6,7,20,5,9,6,Match Report,Vinicius Júnior,https://fbref.com/en/players/7111d552/matchlogs/all_comps/
2025-12-14,Sun,Matchweek 16,Away,W 2–1,Real Madrid,Alavés,Y,"FW,LW",88,0,1,0,0,1,1,1,0,38,1,0,3,0.1,0.1,0.5,2,2,15,20,75.0,0,16,1,7,2,Match Report,Vinicius Júnior,https://fbref.com/en/players/7111d552/matchlogs/all_comps/
2025-12-07,Sun,Matchweek 15,Home,L 0–2,Real Madrid,Celta Vigo,Y,FW,90,0,0,0,0,4,1,0,0,46,1,0,1,0.3,0.3,0.0,4,0,23,29,79.3,2,35,6,5,2,Match Report,Vinicius Júnior,https://fbref.com/en/players/7111d552/matchlogs/all_comps/
2025-12-03,Wed,Matchweek 19,Away,W 3–0,Real Madrid,Athletic Club,Y,FW,77,0,0,0,0,4,2,0,0,50,0,0,0,0.7,0.7,0.0,1,0,26,33,78.8,4,34,8,6,1,Match Report,Vinicius Júnior,https://fbref.com/en/players/7111d552/matchlogs/all_comps/
2025-11-30,Sun,Matchweek 14,Away,D 1–1,Real Madrid,Girona,Y,"LW,FW,LM",90,0,0,0,0,7,1,0,0,60,1,0,5,0.7,0.7,0.0,4,1,26,35,74.3,2,42,7,5,2,Match Report,Vinicius Júnior,https://fbref.com/en/players/7111d552/matchlogs/all_comps/
