[2025-12-28 19:09:52,566] INFO | fixtures_ingest | Fetching fixtures for GW 19
[2025-12-28 19:09:52,567] INFO | fixtures | Fetching fixtures for gameweek=19
[2025-12-28 19:09:53,091] INFO | fixtures | Retrieved 10 fixtures for gameweek=19
[2025-12-28 19:09:53,094] INFO | fixtures_ingest | Wrote 10 fixtures for GW 19
[2025-12-28 19:09:53,095] INFO | fixtures_ingest | Fetching fixtures for GW 20
[2025-12-28 19:09:53,095] INFO | fixtures | Fetching fixtures for gameweek=20
[2025-12-28 19:09:53,611] INFO | fixtures | Retrieved 10 fixtures for gameweek=20
[2025-12-28 19:09:53,614] INFO | fixtures_ingest | Wrote 10 fixtures for GW 20
[2025-12-28 19:09:53,615] INFO | fixtures_ingest | Fetching fixtures for GW 21
[2025-12-28 19:09:53,615] INFO | fixtures | Fetching fixtures for gameweek=21
[2025-12-28 19:09:54,127] INFO | fixtures | Retrieved 10 fixtures for gameweek=21
[2025-12-28 19:09:54,130] INFO | fixtures_ingest | Wrote 10 fixtures for GW 21
[2025-12-28 19:09:54,130] INFO | fixtures_ingest | Fetching fixtures for GW 22
[2025-12-28 19:09:54,131] INFO | fixtures | Fetching fixtures for gameweek=22
[2025-12-28 19:09:54,665] INFO | fixtures | Retrieved 10 fixtures for gameweek=22
[2025-12-28 19:09:54,668] INFO | fixtures_ingest | Wrote 10 fixtures for GW 22
[2025-12-28 19:09:54,669] INFO | fixtures_ingest | Fetching fixtures for GW 23
[2025-12-28 19:09:54,669] INFO | fixtures | Fetching fixtures for gameweek=23
[2025-12-28 19:09:55,180] INFO | fixtures | Retrieved 10 fixtures for gameweek=23
[2025-12-28 19:09:55,183] INFO | fixtures_ingest | Wrote 10 fixtures for GW 23
[2025-12-28 19:09:55,184] INFO | fixtures_ingest | Fetching fixtures for GW 24
[2025-12-28 19:09:55,184] INFO | fixtures | Fetching fixtures for gameweek=24
[2025-12-28 19:09:55,699] INFO | fixtures | Retrieved 10 fixtures for gameweek=24
[2025-12-28 19:09:55,702] INFO | fixtures_ingest | Wrote 10 fixtures for GW 24
[2025-12-28 19:09:55,703] INFO | fixtures_ingest | Fetching fixtures for GW 25
[2025-12-28 19:09:55,703] INFO | fixtures | Fetching fixtures for gameweek=25
[2025-12-28 19:09:56,265] INFO | fixtures | Retrieved 10 fixtures for gameweek=25
[2025-12-28 19:09:56,268] INFO | fixtures_ingest | Wrote 10 fixtures for GW 25
[2025-12-28 19:09:56,269] INFO | fixtures_ingest | Fetching fixtures for GW 26
[2025-12-28 19:09:56,269] INFO | fixtures | Fetching fixtures for gameweek=26
[2025-12-28 19:09:56,780] INFO | fixtures | Retrieved 10 fixtures for gameweek=26
[2025-12-28 19:09:56,784] INFO | fixtures_ingest | Wrote 10 fixtures for GW 26
[2025-12-28 19:09:56,784] INFO | fixtures_ingest | Fetching fixtures for GW 27
[2025-12-28 19:09:56,785] INFO | fixtures | Fetching fixtures for gameweek=27
[2025-12-28 19:09:57,290] INFO | fixtures | Retrieved 10 fixtures for gameweek=27
[2025-12-28 19:09:57,294] INFO | fixtures_ingest | Wrote 10 fixtures for GW 27
[2025-12-28 19:09:57,294] INFO | fixtures_ingest | Fetching fixtures for GW 28
[2025-12-28 19:09:57,294] INFO | fixtures | Fetching fixtures for gameweek=28
[2025-12-28 19:09:57,815] INFO | fixtures | Retrieved 10 fixtures for gameweek=28
[2025-12-28 19:09:57,818] INFO | fixtures_ingest | Wrote 10 fixtures for GW 28
[2025-12-28 19:09:57,819] INFO | fixtures_ingest | Fetching fixtures for GW 29
[2025-12-28 19:09:57,819] INFO | fixtures | Fetching fixtures for gameweek=29
[2025-12-28 19:09:58,354] INFO | fixtures | Retrieved 10 fixtures for gameweek=29
[2025-12-28 19:09:58,356] INFO | fixtures_ingest | Wrote 10 fixtures for GW 29
[2025-12-28 19:09:58,357] INFO | fixtures_ingest | Fetching fixtures for GW 30
[2025-12-28 19:09:58,357] INFO | fixtures | Fetching fixtures for gameweek=30
[2025-12-28 19:09:58,891] INFO | fixtures | Retrieved 10 fixtures for gameweek=30
[2025-12-28 19:09:58,894] INFO | fixtures_ingest | Wrote 10 fixtures for GW 30
[2025-12-28 19:09:58,894] INFO | fixtures_ingest | Fetching fixtures for GW 31
[2025-12-28 19:09:58,895] INFO | fixtures | Fetching fixtures for gameweek=31
[2025-12-28 19:09:59,396] INFO | fixtures | Retrieved 10 fixtures for gameweek=31
[2025-12-28 19:09:59,399] INFO | fixtures_ingest | Wrote 10 fixtures for GW 31
[2025-12-28 19:09:59,399] INFO | fixtures_ingest | Fetching fixtures for GW 32
